company_name,domain,sector,employee_band,country,hq_city,annual_revenue_band,founded_year,funding_stage,crm_platform,monthly_ad_spend_band,ad_platforms,is_hiring,open_roles
Foxglove Engineering BV,foxglove-engineering.example,Manufacturing,201-1000,NL,Rotterdam,£250m+,1966,Bootstrapped,Pipedrive,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Norfolk Medical GmbH,norfolk-medical.example,Healthcare,51-200,DE,Frankfurt,£10m-£50m,2002,Bootstrapped,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Saltmarsh Fabrication Inc,saltmarsh-fabrication.example,Manufacturing,201-1000,US,Seattle,£50m-£250m,1982,Bootstrapped,Salesforce,none,[],True,26
Inkwell Lending Inc,inkwell-lending.example,Financial services,1-10,US,Seattle,under £1m,2006,Bootstrapped,HubSpot,none,[],False,0
Vantage Accountants GmbH,vantage-accountants.example,Professional services,11-50,DE,Munich,£1m-£10m,1996,Bootstrapped,No CRM,under £5k,"[""Meta Ads""]",False,0
Quartz Engineering Inc,quartz-engineering.example,Manufacturing,201-1000,US,San Francisco,£50m-£250m,2004,Series C+,Salesforce,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,20
Clearwater Manufacturing Inc,clearwater-manufacturing.example,Manufacturing,51-200,US,Boston,£10m-£50m,2017,Series A,Pipedrive,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Nettlefield Transport Inc,nettlefield-transport.example,Logistics,11-50,US,San Francisco,£1m-£10m,2016,Bootstrapped,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Rosewood Outfitters Inc,rosewood-outfitters.example,Retail,51-200,US,Chicago,£50m-£250m,1995,Series A,HubSpot,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Microsoft Ads"", ""TikTok Ads""]",True,6
Meridian Associates GmbH,meridian-associates.example,Professional services,1-10,DE,Berlin,under £1m,1996,Seed,HubSpot,none,[],False,0
Quartz Dental GmbH,quartz-dental.example,Healthcare,51-200,DE,Munich,£10m-£50m,2010,Private equity,HubSpot,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Glenmoor Systems Inc,glenmoor-systems.example,Software,1-10,US,Seattle,under £1m,2011,Bootstrapped,Pipedrive,under £5k,"[""Google Ads""]",True,2
Harbour Advisory Ltd,harbour-advisory.example,Professional services,11-50,UK,Bristol,under £1m,2020,Bootstrapped,Spreadsheet,none,[],False,0
Meridian Clinics Ltd,meridian-clinics.example,Healthcare,11-50,UK,Birmingham,£1m-£10m,2018,Seed,Pipedrive,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Highgate Consulting Inc,highgate-consulting.example,Professional services,11-50,US,San Francisco,£1m-£10m,2006,Seed,Pipedrive,under £5k,"[""LinkedIn Ads""]",False,0
Moorland Couriers SAS,moorland-couriers.example,Logistics,11-50,FR,Lyon,£1m-£10m,2015,Series A,Salesforce,£5k-£25k,"[""Google Ads"", ""Microsoft Ads""]",False,0
Highgate College GmbH,highgate-college.example,Education,1-10,DE,Frankfurt,under £1m,2005,Bootstrapped,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Larkspur Transport Inc,larkspur-transport.example,Logistics,201-1000,US,San Francisco,£250m+,1970,Series B,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,17
Oakridge Consulting Inc,oakridge-consulting.example,Professional services,11-50,US,San Francisco,£1m-£10m,2006,Series A,Pipedrive,under £5k,"[""Microsoft Ads""]",False,0
Norfolk Pharma SAS,norfolk-pharma.example,Healthcare,51-200,FR,Toulouse,£10m-£50m,2001,Series B,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Quartz Clinics BV,quartz-clinics.example,Healthcare,1000+,NL,Utrecht,£250m+,1976,Series C+,Salesforce,under £5k,"[""Meta Ads""]",False,0
Dunmore Market SAS,dunmore-market.example,Retail,1-10,FR,Lille,under £1m,1995,Bootstrapped,Pipedrive,none,[],False,0
Thornbury Logistics Inc,thornbury-logistics.example,Logistics,11-50,US,Austin,£1m-£10m,2002,Seed,Spreadsheet,under £5k,"[""Google Ads""]",False,0
Highgate Dental SAS,highgate-dental.example,Healthcare,11-50,FR,Toulouse,£1m-£10m,1998,Series A,HubSpot,none,[],False,0
Kestrel Labs Inc,kestrel-labs.example,Software,1000+,US,San Francisco,£250m+,1968,Public,Pipedrive,£5k-£25k,"[""Google Ads"", ""TikTok Ads""]",False,0
Cobalt Engineering GmbH,cobalt-engineering.example,Manufacturing,51-200,DE,Berlin,£10m-£50m,2022,Series B,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Kelvin Retail Ltd,kelvin-retail.example,Retail,11-50,UK,Edinburgh,£1m-£10m,2024,Series A,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Saltmarsh Training Ltd,saltmarsh-training.example,Education,1-10,UK,Leeds,under £1m,2024,Seed,Pipedrive,none,[],False,0
Upland Advisory BV,upland-advisory.example,Professional services,11-50,NL,Eindhoven,£1m-£10m,2024,Series A,HubSpot,none,[],False,0
Rosewood Digital Ltd,rosewood-digital.example,Software,1000+,UK,Manchester,£250m+,1979,Private equity,HubSpot,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,54
Harbour Couriers Ltd,harbour-couriers.example,Logistics,11-50,UK,Manchester,under £1m,2022,Series A,HubSpot,under £5k,"[""Meta Ads""]",False,0
Pebble Shipping Ltd,pebble-shipping.example,Logistics,11-50,UK,London,£1m-£10m,2005,Series A,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Tidewater Dental Ltd,tidewater-dental.example,Healthcare,1-10,UK,Leeds,under £1m,2000,Seed,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Ironbridge Freight GmbH,ironbridge-freight.example,Logistics,11-50,DE,Frankfurt,£1m-£10m,2017,Bootstrapped,Pipedrive,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Hawthorn Associates Inc,hawthorn-associates.example,Professional services,11-50,US,New York,£1m-£10m,2014,Series A,No CRM,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,3
Moorland Trading BV,moorland-trading.example,Retail,201-1000,NL,Eindhoven,£50m-£250m,2002,Series A,Pipedrive,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0
Harbour Engineering BV,harbour-engineering.example,Manufacturing,1-10,NL,Utrecht,under £1m,2022,Seed,No CRM,under £5k,"[""Google Ads""]",False,0
Zephyr Cloud GmbH,zephyr-cloud.example,Software,1000+,DE,Hamburg,£250m+,1979,Private equity,HubSpot,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,62
Willow Care Inc,willow-care.example,Healthcare,51-200,US,Chicago,£10m-£50m,2018,Bootstrapped,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Tidewater Works Ltd,tidewater-works.example,Manufacturing,51-200,UK,Manchester,£10m-£50m,2022,Bootstrapped,No CRM,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",True,6
Lindenwood Components Ltd,lindenwood-components.example,Manufacturing,1-10,UK,Bristol,under £1m,2006,Bootstrapped,Spreadsheet,under £5k,"[""Meta Ads""]",False,0
Lindenwood Accountants GmbH,lindenwood-accountants.example,Professional services,51-200,DE,Hamburg,£50m-£250m,2017,Bootstrapped,Salesforce,£5k-£25k,"[""Google Ads"", ""Microsoft Ads""]",True,7
Saltmarsh Engineering SAS,saltmarsh-engineering.example,Manufacturing,1-10,FR,Toulouse,under £1m,2000,Bootstrapped,Spreadsheet,under £5k,"[""Meta Ads""]",True,4
Oakridge Industries BV,oakridge-industries.example,Manufacturing,11-50,NL,Amsterdam,£1m-£10m,1997,Seed,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0
Silverline Training Inc,silverline-training.example,Education,11-50,US,Austin,£1m-£10m,2010,Series A,HubSpot,under £5k,"[""Google Ads""]",False,0
Rosewood Accountants GmbH,rosewood-accountants.example,Professional services,1-10,DE,Hamburg,under £1m,2003,Bootstrapped,Spreadsheet,none,[],False,0
Orchard Stores Ltd,orchard-stores.example,Retail,11-50,UK,Bristol,£1m-£10m,1995,Series A,Salesforce,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Willow Software Inc,willow-software.example,Software,11-50,US,Austin,£1m-£10m,2009,Bootstrapped,HubSpot,under £5k,"[""Google Ads""]",True,3
Marigold Wealth Ltd,marigold-wealth.example,Financial services,51-200,UK,London,£10m-£50m,2018,Series A,Pipedrive,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Hawthorn Legal GmbH,hawthorn-legal.example,Professional services,11-50,DE,Berlin,£10m-£50m,2005,Seed,Pipedrive,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0
Moorland Digital SAS,moorland-digital.example,Software,201-1000,FR,Lyon,£50m-£250m,2010,Private equity,HubSpot,£100k+,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads"", ""TikTok Ads""]",True,17
Lindenwood Goods Ltd,lindenwood-goods.example,Retail,11-50,UK,Birmingham,£1m-£10m,2021,Bootstrapped,No CRM,under £5k,"[""Meta Ads""]",True,2
Orchard Cloud Ltd,orchard-cloud.example,Software,11-50,UK,Birmingham,£1m-£10m,2001,Bootstrapped,Pipedrive,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",True,5
Nettlefield Finance Ltd,nettlefield-finance.example,Financial services,51-200,UK,Birmingham,£10m-£50m,2002,Bootstrapped,HubSpot,none,[],False,0
Westbrook Manufacturing BV,westbrook-manufacturing.example,Manufacturing,11-50,NL,Utrecht,£1m-£10m,2018,Bootstrapped,Salesforce,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",True,2
Moorland Haulage Ltd,moorland-haulage.example,Logistics,201-1000,UK,Edinburgh,£50m-£250m,2018,Series C+,Salesforce,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",True,15
Driftwood Health Ltd,driftwood-health.example,Healthcare,1-10,UK,Leeds,under £1m,2003,Seed,Spreadsheet,under £5k,"[""Google Ads""]",False,0
Juniper Outfitters Inc,juniper-outfitters.example,Retail,201-1000,US,Austin,£50m-£250m,2007,Series B,Pipedrive,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Microsoft Ads""]",True,21
Juniper Logistics Ltd,juniper-logistics.example,Logistics,11-50,UK,Edinburgh,£10m-£50m,2019,Bootstrapped,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0
Ivywood Digital BV,ivywood-digital.example,Software,1000+,NL,Utrecht,£250m+,1976,Public,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,92
Ashford Lending BV,ashford-lending.example,Financial services,51-200,NL,Amsterdam,£10m-£50m,2024,Bootstrapped,HubSpot,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0
Emberly Medical Inc,emberly-medical.example,Healthcare,11-50,US,Chicago,under £1m,2024,Series A,HubSpot,under £5k,"[""Microsoft Ads""]",False,0
Highgate Market GmbH,highgate-market.example,Retail,11-50,DE,Frankfurt,under £1m,2017,Bootstrapped,Salesforce,under £5k,"[""Meta Ads""]",True,4
Valley Medical BV,valley-medical.example,Healthcare,51-200,NL,Utrecht,£10m-£50m,2013,Bootstrapped,Salesforce,£5k-£25k,"[""Meta Ads"", ""TikTok Ads""]",False,0
Tamarind Insurance SAS,tamarind-insurance.example,Financial services,201-1000,FR,Lille,£10m-£50m,2008,Series C+,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""TikTok Ads""]",True,21
Pebble Finance BV,pebble-finance.example,Financial services,11-50,NL,Utrecht,£1m-£10m,2023,Seed,Pipedrive,under £5k,"[""Meta Ads""]",True,5
Granite Academy GmbH,granite-academy.example,Education,1-10,DE,Munich,under £1m,2019,Bootstrapped,Pipedrive,under £5k,"[""Meta Ads""]",False,0
Nimbus Shipping Inc,nimbus-shipping.example,Logistics,11-50,US,Boston,£1m-£10m,1998,Seed,Pipedrive,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Driftwood Manufacturing Ltd,driftwood-manufacturing.example,Manufacturing,11-50,UK,Edinburgh,£1m-£10m,2016,Series A,HubSpot,none,[],True,4
Harbour Lending Ltd,harbour-lending.example,Financial services,51-200,UK,Manchester,£50m-£250m,1997,Bootstrapped,HubSpot,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0
Rosewood Transport Ltd,rosewood-transport.example,Logistics,1-10,UK,Leeds,under £1m,2001,Bootstrapped,HubSpot,under £5k,"[""LinkedIn Ads""]",False,0
Vantage Consulting Inc,vantage-consulting.example,Professional services,11-50,US,New York,£1m-£10m,1998,Seed,HubSpot,none,[],False,0
Westbrook Recruitment Inc,westbrook-recruitment.example,Professional services,201-1000,US,New York,£50m-£250m,1987,Series C+,Salesforce,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,19
Saltmarsh Lending GmbH,saltmarsh-lending.example,Financial services,11-50,DE,Hamburg,£10m-£50m,2007,Bootstrapped,Pipedrive,under £5k,"[""Microsoft Ads""]",False,0
Aurora Training Ltd,aurora-training.example,Education,201-1000,UK,Manchester,£50m-£250m,2024,Public,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0
Quayside Clinics Ltd,quayside-clinics.example,Healthcare,51-200,UK,Manchester,£10m-£50m,2001,Series B,Pipedrive,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,7
Northwind Works Ltd,northwind-works.example,Manufacturing,51-200,UK,Birmingham,£10m-£50m,2007,Bootstrapped,HubSpot,under £5k,"[""Google Ads""]",False,0
Juniper Works Ltd,juniper-works.example,Manufacturing,1000+,UK,London,£250m+,2014,Public,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Microsoft Ads""]",False,0
