lead_id,is_real_business,persona,problem_specificity,urgency,brief_fit,reason,status,error,card_hash,brief_hash,prompt_version,model_id
L00100,yes,buyer,specific,now,strong,"Real company seeking ad-scoring solution with concrete need: 12 seats, 6-week timeline, explicit competitor evaluation for their startup initiative.",ok,,89253571b65392d8828ecaf883cc45161e89110c0fc58fabb717cfa4572b24e9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00108,unclear,buyer,vague,none,partial,"Vague problem statement about social reporting. No mention of lead scoring, attribution to revenue, or CRM integration. Unclear if they run B2B lead gen ads.",ok,,c1cdc8c937a49dfae162557ea58bea50c8fcea743611a2f2c4ac4b4b15293b19,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00137,unclear,unclear,vague,none,weak,"No form content provided. Only email domain suggests manufacturing company, but no problem statement, title, or company name to assess fit.",ok,,e8c854266bc676bd9c26835bf3c263a2301202a6bb54c856e805770880acf1a2,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00148,unclear,unclear,specific,this_quarter,partial,"Specific problem and timeline, but no company name, job title, or business email raises authenticity concerns.",ok,,626fae2d05908616507c88fbf2f4168d4baa489b212916c23876a2152fca9a43,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00161,yes,buyer,specific,this_quarter,weak,"Real company with contract renewal deadline, but haulage/logistics unlikely to use lead scoring ads platform.",ok,,25ce8a8eba33fd3c35b080e072c026ceadc397910043623b42530a848b3795c9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00164,no,student,boilerplate,none,none,"Student, self-employed, no business context. Generic marketing copy unrelated to lead scoring or ad attribution.",ok,,f48ea55385e8e63a0926d46e55c71f1ca690518eb2b7ef277c5c924bcea593ce,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00177,yes,nonprofit,specific,none,none,Nonprofit housing association doesn't fit buyer profile. EMVA targets B2B companies with paid ads and sales teams generating revenue-driven leads.,ok,,a2a2815c445b3cfc59b9fc66149626019256a5f5a3c5756804c53c48610763b7,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00188,yes,buyer,specific,this_quarter,strong,"Real company with concrete tracking problem, specific deadline (July), team size mentioned, clear fit for EMVA solution.",ok,,783a94e718aa283d044952afb8345d8a9632d783cdf22a03895cf4d7054c4038,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00194,yes,nonprofit,specific,this_quarter,none,"Nonprofit charity with donation-based funding model. EMVA targets B2B companies with paid ad spend, not donation-funded organizations.",ok,,3ea89ece4ad5df58b43df65b97ec7c6f0d424862d94f865f4ef16cfc6118e96d,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00210,unclear,unclear,boilerplate,none,none,"Minimal information provided. 'Intéressé' (interested) is not a specific problem. Gmail domain suggests personal email, not company.",ok,,91b549fca8469a52c77601e99682818138a024f171674002255d45f4bbe1bc0c,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00221,unclear,unclear,specific,none,partial,"Specific problem (campaign lead quality) but no company name, title, or business verification. Outlook domain suggests personal email.",ok,,cc805818ce9296e4fd0f0bae74186a7ecc67d9d1a0314eada207c883b2d9ad0f,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00230,unclear,unclear,boilerplate,none,none,"Minimal information provided. 'Bonnjour' appears to be a typo or placeholder. No company name, job title, or meaningful problem statement. Cannot assess fit.",ok,,30d5919477a167612a4a884f6e9701a52560ed1dda35b3fa129b601bc20223a6,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00242,unclear,student,unrelated,none,none,"Student persona with vague Dutch text ('prijzen'=prices). No indication of paid ads, sales team, or lead scoring need.",ok,,9bc20ccccbb1a503c117b2bb682a9e541622d153ac0a1feda02105dfb31eba64,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00245,unclear,vendor,vague,none,none,Recruitment firm (vendor) with no stated problem. No indication they run paid ads or need lead scoring.,ok,,efa6c4d2f29c61b52cda5fa414aff7f4c55aa38bf11900081e1820134b8429f6,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00249,yes,nonprofit,specific,this_quarter,none,Nonprofit housing association doesn't fit buyer profile. EMVA targets B2B companies with paid ads generating revenue-driving leads and sales teams.,ok,,1be3f66312a391e1093f453cf44435d0cb677722faf5db124996d0f55395e4ec,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00260,yes,buyer,specific,researching,strong,"Demand Gen Manager at fabrication company seeking CRM-to-ads integration. Concrete problem, right persona, plausible B2B advertiser.",ok,,d696e6f7535ae3bca9365ba4e9fbf6d251ed2b02103ff80e57273ee8fd8b41a0,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00262,yes,competitor,specific,researching,none,"Competitor researching our product. They build similar lead scoring tools, not a buyer.",ok,,ef83a55f36116295b8b1b26693adabb81863011c0ceffaa9072e525cb82049b4,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00265,yes,job_seeker,vague,none,none,"Founder asking to share CV with recruiter; seeking employment, not evaluating lead scoring product.",ok,,0517e9c1cdc7bd991f400a981dcf80efb2b7af657d0335e361f7294bffcc1025,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00282,unclear,vendor,vague,none,none,Recruitment firm asking for info; no indication they run paid ads or have inbound lead quality issues.,ok,,40c2ad02469643549ce834e615889011a5ecd52c248d7f4379e47d9ee0283001,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00304,no,unclear,vague,none,none,"No company name, blank job title, hotmail email. Minimal detail ('test') suggests not a real business inquiry.",ok,,ebfe4e3e26cb661d925ae4bd9f967e447d4f3c14e4425062218148b6acfc3ebc,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00310,yes,buyer,vague,none,weak,Dental practice unlikely to run B2B paid ads or have sales team. Consumer/B2C business model.,ok,,a04b11498d1c37a685036e8fef90c526a71688494273f7200db13104e7f3adea,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00311,unclear,buyer,vague,none,weak,"Founder at retail company, but no problem stated. Unclear if they run paid ads or have B2B sales process.",ok,,937210a8de98bad80695fa1369858cf7c2492cab026cd595f07f223a2d064422,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00314,unclear,vendor,specific,researching,none,"Vendor seeking resale opportunities, not a buyer with their own lead generation problem.",ok,,7eb1623333122b1c2b2364772293ae8106c57fc08b2d80cca328e405de5d35de,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00326,yes,buyer,specific,now,weak,"Real dental practice with conversion tracking problem, but B2B lead gen unlikely for dental services.",ok,,f7224d0d705229a647a1ba8659d290e38025b7260774b8085ab7e08808381358,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00329,unclear,job_seeker,vague,none,none,"Job seeker seeking employment, not a buyer evaluating our product for their organization.",ok,,865658c2790941b78a7f25e1cbf030316749add76240e401e5a73dc788893714,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00330,yes,buyer,specific,researching,partial,"Real manufacturing company with relevant problem (lead quality tracking), but assistant-level role and no urgency signals suggest early-stage interest.",ok,,27de6781dfbfb7e09e10e76cb671b50a860352f50962f3fd226ad84c055e2091,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00353,yes,nonprofit,specific,none,none,"Nonprofit with no revenue model. EMVA targets B2B companies selling products/services, not donation-driven organizations.",ok,,ec50aa6d4484fac632740113321212477edfb16ce96eda843aee71aedfa0a2ee,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00362,unclear,buyer,specific,this_quarter,partial,"Real company name and specific budget/timeline, but hotmail email and Operations Manager role (not marketing/revenue leadership) raise authenticity concerns.",ok,,df78f0c7f359a6768d52312a2057772844f2ebfa14f5313a67fad7255b7012e8,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00373,unclear,job_seeker,vague,none,none,"Job seeker looking for first marketing role, not a buyer evaluating our product for their company.",ok,,4fec50fa71b22932ea81069647f2f0ecf561cd0925efca4b1f8bdeafd9c70c64,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00379,unclear,student,boilerplate,none,none,"Student persona with boilerplate marketing copy. No concrete problem, ad spend, or sales process mentioned.",ok,,02cd84fcadf4648d11a3e8d5f91555385bb2149f4ba64dd18e73476f8b3cf9f9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00385,yes,nonprofit,specific,this_quarter,weak,"Real nonprofit with specific tracking problem and timeline, but nonprofits rarely fit our B2B SaaS buyer profile.",ok,,9ae7f44682a4d55be44c70a2329e02805835feaf1357db2bab66b66745b47c81,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00387,unclear,unclear,vague,none,none,"Minimal information provided. Single word 'hello' with no company details, job title, or problem statement. Cannot assess fit.",ok,,af53a630469b80751095336ba753065a7dfd00c69d9f41cc5164c9046572a8c9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00394,yes,vendor,boilerplate,none,none,"Vendor pitching generic service language. No mention of paid ads, lead scoring, or attribution challenges.",ok,,0d1cd65815d73634b16b0c3746bd6cf516e02fea1d2f469956d62a9b4cd6a7c0,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00413,unclear,buyer,vague,none,weak,Vague request for information with no specific problem stated. Cannot assess if they advertise or have lead quality issues.,ok,,36db9980b14846d5bbcd7068b4dd4e05cd313485b52b4b7883d22b86f25230ed,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00415,unclear,unclear,specific,none,partial,"Specific problem (Meta lead quality) but no company name, title, or business domain. Cannot verify if real B2B business with paid ads.",ok,,b6ab8f6d7497a889d67f5f721e6ad8ffbd2d5cfda59d5aff49505049068f0977,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00416,yes,buyer,specific,researching,strong,Real shipping company exploring CRM-to-ads integration. Sales rep indicates active sales process and ad spend tracking need.,ok,,94695322183196615b7d12b9e854d922cc4d8e15a721e7090cdd6ad7893df179,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00418,no,unclear,vague,none,none,"No company name, job title, or problem statement provided. Hotmail domain suggests personal account, not business.",ok,,cde4efa826b8672ec256042cdf2d900909ca8524dd73e3dc1d40930e3543a276,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00429,yes,buyer,specific,none,partial,"Real B2B company with concrete lead quality problem from Meta ads. However, white-label SEO services suggests they may resell rather than generate direct sales revenue.",ok,,8770d5ea588dc81894a6772344377b73c921fdee700e5f366afcae5652bbd121,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00452,yes,buyer,specific,this_quarter,partial,Real recruitment firm with tool replacement need by February. Unclear if they use paid ads for lead generation or B2B sales process.,ok,,5f13adfbb6b094f153bdae55cbb82ab47ab5f00337a4c665aed5d06aa6917ee9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00454,unclear,competitor,specific,none,none,"Competitor researching our onboarding. No company name, iCloud email, and explicitly states they have same solution.",ok,,052423949217db5ad4485a560b7e3c75de99e79546792c50883c14fab7aa6285,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00459,unclear,buyer,vague,none,partial,"Generic interest statement lacks specifics on ads, leads, or attribution pain. iCloud email domain raises authenticity concerns for claimed company.",ok,,1c8aeac1aa228b202ead4f1e27bb928d8da672133d169c80a52981817928bf8a,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00468,no,unclear,vague,none,none,"No company name, personal email domain, missing job title. Cannot verify real business or paid ad spend.",ok,,682ed8727506fc53cc43533d58eb77805ddc98f996202a5818cc93041c00a118,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00470,unclear,unclear,specific,this_quarter,partial,"Specific problem and deadline, but no company name, job title, or business domain. Cannot verify if real B2B business with sales team.",ok,,ca2cd8ad9d6dd703f42543778ae140d2b7003c5959131b016f207b1f5dd23298,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00478,unclear,unclear,vague,none,none,"No company name, job title, or problem details provided. Email domain suggests accounting firm, not ad spender.",ok,,12ea31bd7079e3c249f10fc72ee959814d868ef40a2cbb786f54395caba38dab,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00479,yes,vendor,vague,this_quarter,none,"Vendor selling SEO services, not a buyer of lead scoring. Wrong persona for EMVA.",ok,,1ea39a7b6d579183ebb9dd0b5c20ae74c3176a1d68fa642e2b7374d4ce9eea0d,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00481,yes,buyer,specific,now,weak,"Real business with concrete attribution problem, but nonprofit structure means no sales team/CRM revenue tracking typical of EMVA buyers.",ok,,63748d12f6bb416122a66b0d6251dc6f821c6189d796f5de7f9ab9d94d7cd0dc,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00483,yes,vendor,vague,none,none,Claims to represent animal rescue (nonprofit) but company is recruitment firm. Misaligned personas and no B2B ad spend signal.,ok,,1f2c5f52704238bc1d2ef31c4a08b51e3d6c9b6c4e7005fd2a1178c8898d03a3,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00490,unclear,buyer,vague,none,partial,"Real problem but no company name, title, or urgency signals. Email domain suggests engineering firm but lacks specifics on ad spend, CRM, or sales process.",ok,,45486c4261238c224e3effeba85565de3747ac44bc0f66ffed9a258e9db90c1e,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00492,yes,buyer,vague,none,partial,"Real company, right persona, but vague problem statement. No mention of lead quality, attribution, CRM integration, or budget specifics.",ok,,84e043e8b06056de88c4ba38de2b85d4e6d9027ae2643d82d7c83eb9bdde0e2f,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00501,unclear,job_seeker,vague,none,none,"Primary intent is job inquiry, not evaluating product. Between roles suggests not currently employed. Vague problem statement.",ok,,c1bc8c7a23536d43e9a815322443d5399defa9f71fe2f37917677e5a88de0b50,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00508,yes,buyer,vague,none,partial,"Real company, right persona, but problem statement is generic. No specifics on ad spend, CRM integration, or lead quality tracking.",ok,,cf4f079a89a48f8a06790f3a89f769f5b337c8729fff299600c48702c1002446,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00512,yes,buyer,vague,none,partial,"Real business with paid social spend, but vague problem statement. No mention of lead quality, attribution, or sales process pain.",ok,,11d5ff099e066a63c63e2d3e9e92444487f84b61e3432b706d61082a068d6943,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00523,yes,buyer,vague,this_quarter,weak,Real recruitment firm but nonprofit framing contradicts commercial business model. No mention of paid ads or lead quality tracking.,ok,,1ac837ccd76d0c86748afd84a1ab904258288788b72fe2ff4d33346ea67d11dd,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00528,yes,buyer,specific,none,strong,Real company with concrete lead quality problem from Meta ads. Matches buyer profile perfectly. Missing urgency signals.,ok,,5d42beca3fa54b244ab8ed5ba8f8968a51994004e6721b6156a9654d86e9fb61,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00531,unclear,competitor,specific,researching,none,"Competitor researching ad-scoring solutions for their own startup, not a buyer of our service.",ok,,52843e5f66653879b0a1fb36b01082ee2a3203319d0624ec70b8861ef8889353,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00535,unclear,unclear,boilerplate,none,none,"Boilerplate Dutch marketing copy about innovative solutions. No company name, job title, or specific problem stated. Cannot verify legitimacy.",ok,,2ee54e746000125d5e3ee713ea96133c5b93ca0ff65a66f71378bf82b4c67724,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00539,unclear,vendor,vague,none,none,"Recruitment firm asking generic question. No company details, no problem statement, likely vendor pitching services.",ok,,ab55e363ded29c82ef1ef68c0f0c5c7f1e8177f62714231b0eecd6259ed9616f,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00551,unclear,competitor,vague,this_quarter,none,"Competitor from another conversion-value platform seeking walkthrough, not evaluating for their own use.",ok,,16e958a6a80b4b39ac9e1b21fafd6fac9a975fa85c5029d114101d5b1805e311,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00560,unclear,job_seeker,vague,this_quarter,none,Job seeker asking for recruiter referral. Mentions pricing but no actual business problem or ad spend context.,ok,,debf6e7c463d9ec1ccb72f47776d61ab35244bf80fa958ffd544f2c81c7cd277,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00569,unclear,buyer,vague,none,partial,"Mentions paid social reporting pain, but no company name, title, or specifics. Email domain suggests real business but insufficient detail.",ok,,d32f5ae40360dbbf9451958223aee0b9e484381b1794787403037823537a5b17,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00574,unclear,vendor,vague,none,none,"Vendor pitching CRM platform integration, not a buyer. Gmail domain suggests personal account, not company email.",ok,,77dd061c3ce2c033f40c9091233387f4e47c75aef8a157210f888e149a144036,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00580,unclear,vendor,boilerplate,none,none,"Vendor pitching landing page services, not a buyer. Boilerplate copy about form submissions, not lead quality tracking or ad attribution.",ok,,e606a796029773ca44e71e21ab66f83a66944acd3e3225e06d5281fd327d3b30,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00599,yes,buyer,vague,none,partial,"Real Dutch marketing firm, but 'prijzen' (prices) is vague. No mention of ads, leads, or attribution pain.",ok,,54f9e169b4e95afa3d46aa909a3fcfc064535f395f550ea034b331ce9f02ac98,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00608,yes,competitor,specific,researching,none,"Competitor evaluating our product. No genuine buying intent, just research on our offering.",ok,,17a00b2d9cfa5d2c8a22bad64ecdc230b04f251e08a86f377de4df928d413fb8,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00615,yes,buyer,vague,none,partial,"Real capital firm likely runs ads, but 'cost' is too vague. No specifics on ad spend, leads, or attribution pain.",ok,,6be21975dbf9937cd9a508a161d13cf4c65bf5c14e1097f8bacb6024f53d2a33,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00642,no,unclear,vague,none,none,"No company name, iCloud email domain, vague problem statement. Insufficient signals of a real B2B business with paid ads.",ok,,875ea2475e669d102759f17a6eebed553201b6f83cb11471861cd38e5d126f78,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00656,unclear,unclear,vague,none,weak,"Minimal information provided. No company name, job title, or specific problem stated. Email domain suggests a business but insufficient detail to qualify.",ok,,01b99908246389b216e3bcefc579d1a2c33063559710d979b17a169fd31283b9,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00659,unclear,unclear,boilerplate,none,none,Generic marketing copy with no concrete problem. Unclear if Tamarind Academy advertises or sells B2B. No specifics on pain point or business model.,ok,,f1e6910a8f602d14261f4e2b491d592f39ae310b09de22f5020ea5611ca72b78,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00668,yes,buyer,specific,this_quarter,strong,"Legal services firm with concrete attribution budget and quarterly timeline. Real company, plausible ad spend, clear problem fit.",ok,,0ac2bd92110673905266a25c20fc469e4b01accbd6e32bdd19bcc3c0dcce628a,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00692,unclear,buyer,boilerplate,none,weak,"Boilerplate marketing copy, no concrete problem stated. Ironbridge Freight is plausibly real but hotmail domain raises credibility concerns.",ok,,cad6535188c946c72c560715aa210392a2748d261a6145b3fc4e5d51b596f89a,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00693,unclear,buyer,vague,none,partial,"Head of Growth at advisory firm suggests real business, but 'need to test' is too vague. No specifics on ads, spend, or CRM pain.",ok,,04d5e272e7579e92ef26ab7c052b104cee90938c44622c650e3c3df7226f6895,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00703,no,job_seeker,boilerplate,none,none,"Job seeker using gmail, no company, asking for recruiter contact. Not a buyer evaluating for their business.",ok,,fd0eb5cb28db3b527e3ed7b9204625d8bca007c1e2de1f758b2c55c0e39d1a79,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00712,yes,buyer,vague,now,weak,"Sales director seeking pricing for 51 seats, but no mention of paid ads, lead scoring, or attribution—appears to be SaaS licensing inquiry, not our product.",ok,,51fe8bf709453bb58d7a472a7fb6d85a72c39bec6f65bfb3ac0fb90ec6de0bdf,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00719,unclear,unclear,vague,none,weak,"No company name, job title, or problem details provided. Email domain suggests logistics, unclear if they advertise or have sales process.",ok,,3dc5dfd5ebcbd86448a0f11a5ba1bc0e62f93bbc5707bb78c34f2971fd6c0e6c,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00730,no,student,vague,none,none,"Student freelancer, not a B2B company with paid ads and sales team. Competitor signal.",ok,,a5caefd1bd15e37310f99748d811aebff799778176743cf198bc6c339e933290,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00751,yes,buyer,specific,researching,strong,"Managing Director at care company wants to identify high-quality lead sources from campaigns. Concrete problem, real business, plausible ad spend.",ok,,b5dccb418450e10be4aa06454f5d95be946cda205cb5ee0e39ad76598f3b80c0,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00755,unclear,unclear,boilerplate,none,none,"Boilerplate marketing copy, no company name, no job title, no concrete problem stated.",ok,,799964cbcbaf25663050fc924d72f7e94f940df8b1e133085e26315a7e83ca20,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00756,unclear,competitor,specific,none,none,"Competitor from scoring vendor seeking to compare approaches, not a buyer. No company details provided.",ok,,39ce98757617a586b916a25f368f578c2508af3eaacaa4039aea3991c4088441,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00758,yes,buyer,vague,none,partial,"Real logistics company with marketing executive, but no specific problem mentioned. No mention of paid ads, lead quality, or attribution challenges.",ok,,ac8bd6637da0a63489b9c2ee7d132d17b0276e4a3b5c4ceccc5714f54e9914cc,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00761,no,unclear,boilerplate,none,none,"No company, no job title, minimal text, gmail domain. Cannot verify real business or genuine need.",ok,,b5df5c0203c4835c3ebad77c033f4e479a8f3e9401d2f27c449e1f9383acc002,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00768,no,job_seeker,vague,none,none,"Job seeker seeking employment, not a buyer evaluating for their organization. No company or business context.",ok,,9f77d909da60060f2f03e30bdea2f376b58b536df6cafadfef607539386dfb47,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00777,unclear,nonprofit,specific,none,none,"Nonprofit relying on grants, not B2B lead generation. No paid ads for customer acquisition or sales process.",ok,,803a84b8c84b4adc6749c8be5266d54b03fc8674f98909de4b11de41e4668037,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00778,yes,buyer,specific,researching,strong,"Real shipping company with concrete attribution problem. Missing job title and company name field, but email domain suggests legitimate B2B business.",ok,,fd0d4d1dc7bdb31a81b0b46e958f92dd4891a34f60151740834f15b7df349195,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
L00781,yes,nonprofit,specific,this_quarter,none,NGO without B2B sales process. Lead scoring need is real but they don't sell—deal-breaker per brief.,ok,,8040c9d9d2bb66d79d36a28f7757f1374e4d7f93edb0fbd2c67950ba4a6f38eb,38a38ed6d57fda66,judgments-v1,claude-haiku-4-5-20251001
