company_name,domain,sector,employee_band,country,hq_city,annual_revenue_band,founded_year,funding_stage,crm_platform,monthly_ad_spend_band,ad_platforms,is_hiring,open_roles,emitted_domain,domain_in_companies_csv
Kingsway Systems GmbH,kingsway-systems.example,Software,1-10,DE,Frankfurt,under £1m,1997,Seed,Pipedrive,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,2,kingswaysyst-group.example,False
Granite Recruitment Inc,granite-recruitment.example,Professional services,51-200,US,Boston,£1m-£10m,1998,Bootstrapped,Spreadsheet,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",True,11,granite-recruitment.example,True
Riverside College GmbH,riverside-college.example,Education,201-1000,DE,Frankfurt,£50m-£250m,1978,Private equity,HubSpot,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",True,17,riverside-college.example,True
Falcon Freight Ltd,falcon-freight.example,Logistics,201-1000,UK,Manchester,£50m-£250m,2011,Series B,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0,falconfrei-group.example,False
Larkspur Insurance Ltd,larkspur-insurance.example,Financial services,1-10,UK,Edinburgh,under £1m,1999,Bootstrapped,No CRM,under £5k,"[""Meta Ads""]",False,0,larkspur-insurance.example,True
Inkwell Training Ltd,inkwell-training.example,Education,11-50,UK,Bristol,£1m-£10m,1999,Bootstrapped,HubSpot,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0,inkwelltrai-group.example,False
Emberly Associates Inc,emberly-associates.example,Professional services,1-10,US,Chicago,under £1m,2003,Bootstrapped,Spreadsheet,under £5k,"[""Microsoft Ads""]",False,0,emberlyasso-group.example,False
Valley Couriers Ltd,valley-couriers.example,Logistics,11-50,UK,Manchester,£1m-£10m,1998,Bootstrapped,Pipedrive,under £5k,"[""Google Ads""]",False,0,valley-couriers.example,True
Tamarind Health Ltd,tamarind-health.example,Healthcare,51-200,UK,Edinburgh,£10m-£50m,2013,Bootstrapped,Pipedrive,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,9,tamarindheal-group.example,False
Inkwell Couriers Ltd,inkwell-couriers.example,Logistics,1000+,UK,Birmingham,£250m+,2023,Public,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,inkwellcour-group.example,False
Oakridge Haulage Inc,oakridge-haulage.example,Logistics,201-1000,US,San Francisco,£50m-£250m,2011,Bootstrapped,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""TikTok Ads""]",False,0,oakridge-haulage.example,True
Pinecrest Recruitment Ltd,pinecrest-recruitment.example,Professional services,11-50,UK,Birmingham,under £1m,2009,Bootstrapped,No CRM,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,pinecrest-recruitment.example,True
Inkwell Freight BV,inkwell-freight.example,Logistics,51-200,NL,Amsterdam,£10m-£50m,2020,Bootstrapped,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,inkwellfrei-group.example,False
Jasper Advisory Ltd,jasper-advisory.example,Professional services,1-10,UK,Bristol,under £1m,2002,Bootstrapped,Pipedrive,under £5k,"[""Microsoft Ads""]",False,0,jasperadvi-group.example,False
Hawthorn Wealth Inc,hawthorn-wealth.example,Financial services,1-10,US,Seattle,£1m-£10m,2023,Bootstrapped,Spreadsheet,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",False,0,hawthornweal-group.example,False
Brightwater Health Ltd,brightwater-health.example,Healthcare,1-10,UK,London,under £1m,2012,Series A,HubSpot,under £5k,"[""Meta Ads""]",False,0,brightwater-health.example,True
Yarrow Labs Ltd,yarrow-labs.example,Software,11-50,UK,Birmingham,£1m-£10m,2002,Bootstrapped,No CRM,under £5k,"[""Meta Ads""]",True,3,yarrowlabs-group.example,False
Dovecote Pharma Ltd,dovecote-pharma.example,Healthcare,51-200,UK,Manchester,£10m-£50m,2021,Bootstrapped,Salesforce,none,[],False,0,dovecotephar-group.example,False
Clearwater Capital Inc,clearwater-capital.example,Financial services,201-1000,US,Seattle,£50m-£250m,2009,Private equity,Salesforce,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Microsoft Ads"", ""TikTok Ads""]",True,17,clearwater-capital.example,True
Lindenwood Goods SAS,lindenwood-goods.example,Retail,201-1000,FR,Lyon,£50m-£250m,1973,Series C+,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Microsoft Ads""]",True,20,lindenwood-goods.example,True
Ivywood Shipping SAS,ivywood-shipping.example,Logistics,51-200,FR,Toulouse,£10m-£50m,1998,Series B,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,9,ivywood-shipping.example,True
Meridian Legal Inc,meridian-legal.example,Professional services,201-1000,US,Boston,£250m+,2003,Series C+,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",True,25,meridian-legal.example,True
Thornbury Fabrication Ltd,thornbury-fabrication.example,Manufacturing,11-50,UK,London,£1m-£10m,2002,Bootstrapped,HubSpot,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,5,thornbury-fabrication.example,True
Quayside Outfitters GmbH,quayside-outfitters.example,Retail,201-1000,DE,Frankfurt,£10m-£50m,2002,Series C+,No CRM,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",True,17,quayside-outfitters.example,True
Bramble Education GmbH,bramble-education.example,Education,51-200,DE,Hamburg,£10m-£50m,2007,Series A,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,bramble-education.example,True
Inkwell Manufacturing BV,inkwell-manufacturing.example,Manufacturing,1-10,NL,Rotterdam,under £1m,2005,Bootstrapped,Spreadsheet,none,[],False,0,inkwell-manufacturing.example,True
Nettlefield Industries Inc,nettlefield-industries.example,Manufacturing,201-1000,US,Chicago,£50m-£250m,1974,Series C+,HubSpot,£25k-£100k,"[""Google Ads"", ""Microsoft Ads"", ""TikTok Ads""]",True,17,nettlefieldindu-group.example,False
Valley Data BV,valley-data.example,Software,11-50,NL,Utrecht,under £1m,2019,Seed,Spreadsheet,under £5k,"[""Google Ads""]",False,0,valley-data.example,True
Willow Engineering SAS,willow-engineering.example,Manufacturing,11-50,FR,Paris,£1m-£10m,2004,Series B,HubSpot,none,[],True,3,willow-engineering.example,True
Riverside Fabrication BV,riverside-fabrication.example,Manufacturing,51-200,NL,Amsterdam,£10m-£50m,2018,Seed,Salesforce,£5k-£25k,"[""Microsoft Ads"", ""TikTok Ads""]",False,0,riverside-fabrication.example,True
Riverside Partners Ltd,riverside-partners.example,Financial services,1-10,UK,Bristol,under £1m,2014,Seed,No CRM,under £5k,"[""LinkedIn Ads""]",False,0,riverside-partners.example,True
Norfolk Outfitters SAS,norfolk-outfitters.example,Retail,1-10,FR,Lille,under £1m,2001,Seed,Pipedrive,none,[],False,0,norfolk-outfitters.example,True
Pinecrest Wealth GmbH,pinecrest-wealth.example,Financial services,11-50,DE,Berlin,£1m-£10m,2014,Bootstrapped,HubSpot,none,[],False,0,pinecrestweal-group.example,False
Kingsway Consulting Ltd,kingsway-consulting.example,Professional services,11-50,UK,Leeds,£1m-£10m,2002,Series A,Salesforce,under £5k,"[""LinkedIn Ads""]",False,0,kingsway-consulting.example,True
Umber Pharma GmbH,umber-pharma.example,Healthcare,1000+,DE,Frankfurt,£250m+,1970,Bootstrapped,HubSpot,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",False,0,umber-pharma.example,True
Silverline Clinics SAS,silverline-clinics.example,Healthcare,1000+,FR,Paris,£250m+,2001,Bootstrapped,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,59,silverline-clinics.example,True
Aurora Finance Inc,aurora-finance.example,Financial services,11-50,US,Chicago,£1m-£10m,2002,Series A,No CRM,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,4,aurora-finance.example,True
Moorland Training Inc,moorland-training.example,Education,11-50,US,Seattle,£1m-£10m,2009,Bootstrapped,HubSpot,£5k-£25k,"[""Meta Ads"", ""Microsoft Ads""]",False,0,moorland-training.example,True
Harbour Industries Ltd,harbour-industries.example,Manufacturing,201-1000,UK,Bristol,£50m-£250m,1983,Series C+,Spreadsheet,£100k+,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,19,harbour-industries.example,True
Keystone Dental Ltd,keystone-dental.example,Healthcare,1-10,UK,Manchester,under £1m,2012,Seed,Salesforce,under £5k,"[""Microsoft Ads""]",False,0,keystone-dental.example,True
Keystone Wealth BV,keystone-wealth.example,Financial services,1000+,NL,Amsterdam,£50m-£250m,1970,Bootstrapped,Salesforce,under £5k,"[""Google Ads""]",True,62,keystone-wealth.example,True
Valley Finance SAS,valley-finance.example,Financial services,1000+,FR,Toulouse,£250m+,1988,Public,Salesforce,under £5k,"[""TikTok Ads""]",True,69,valley-finance.example,True
Pinecrest Manufacturing Ltd,pinecrest-manufacturing.example,Manufacturing,1-10,UK,Birmingham,under £1m,2014,Seed,Salesforce,under £5k,"[""Google Ads""]",False,0,pinecrest-manufacturing.example,True
Elmstead Consulting BV,elmstead-consulting.example,Professional services,201-1000,NL,Amsterdam,£50m-£250m,1974,Series C+,Salesforce,£5k-£25k,"[""Google Ads"", ""Microsoft Ads""]",True,24,elmstead-consulting.example,True
Marigold Care BV,marigold-care.example,Healthcare,1-10,NL,Rotterdam,under £1m,1997,Seed,Pipedrive,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,3,marigold-care.example,True
Ironbridge Haulage BV,ironbridge-haulage.example,Logistics,51-200,NL,Eindhoven,£10m-£50m,2010,Series B,HubSpot,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0,ironbridge-haulage.example,True
Fernhill Retail Ltd,fernhill-retail.example,Retail,201-1000,UK,Manchester,£50m-£250m,1975,Bootstrapped,Pipedrive,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",True,22,fernhillreta-group.example,False
Nettlefield Stores Inc,nettlefield-stores.example,Retail,1-10,US,Seattle,under £1m,1995,Seed,Pipedrive,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",False,0,nettlefieldstor-group.example,False
Cedar Legal Ltd,cedar-legal.example,Professional services,1-10,UK,Leeds,under £1m,2011,Bootstrapped,HubSpot,under £5k,"[""Meta Ads""]",False,0,cedar-legal.example,True
Granite Industries Ltd,granite-industries.example,Manufacturing,1-10,UK,Manchester,£1m-£10m,2024,Seed,HubSpot,under £5k,"[""Meta Ads""]",False,0,granite-industries.example,True
Yarrow Fabrication Inc,yarrow-fabrication.example,Manufacturing,1-10,US,San Francisco,under £1m,1995,Bootstrapped,Spreadsheet,under £5k,"[""Microsoft Ads""]",False,0,yarrow-fabrication.example,True
Vantage Engineering BV,vantage-engineering.example,Manufacturing,51-200,NL,Rotterdam,£10m-£50m,2022,Series B,HubSpot,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""TikTok Ads""]",False,0,vantage-engineering.example,True
Nettlefield Tutors BV,nettlefield-tutors.example,Education,1-10,NL,Utrecht,under £1m,2002,Bootstrapped,HubSpot,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,1,nettlefield-tutors.example,True
Kingsway Engineering SAS,kingsway-engineering.example,Manufacturing,11-50,FR,Lyon,£1m-£10m,2004,Series A,No CRM,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",False,0,kingswayengi-group.example,False
Saltmarsh Education Ltd,saltmarsh-education.example,Education,1-10,UK,Birmingham,under £1m,2021,Series A,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",False,0,saltmarsh-education.example,True
Bluebell Manufacturing BV,bluebell-manufacturing.example,Manufacturing,11-50,NL,Utrecht,£1m-£10m,2019,Seed,HubSpot,under £5k,"[""TikTok Ads""]",True,2,bluebell-manufacturing.example,True
Tidewater Finance Ltd,tidewater-finance.example,Financial services,51-200,UK,Edinburgh,£10m-£50m,2014,Series A,Salesforce,£5k-£25k,"[""Microsoft Ads"", ""TikTok Ads""]",False,0,tidewater-finance.example,True
Thornbury Health Inc,thornbury-health.example,Healthcare,1-10,US,Austin,£1m-£10m,2000,Seed,Spreadsheet,under £5k,"[""Meta Ads""]",False,0,thornbury-health.example,True
Lindenwood Components Ltd,lindenwood-components.example,Manufacturing,11-50,UK,Bristol,£1m-£10m,1995,Seed,Pipedrive,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0,lindenwood-components.example,True
Elmstead Components Inc,elmstead-components.example,Manufacturing,51-200,US,New York,£10m-£50m,2022,Series A,HubSpot,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,3,elmstead-components.example,True
Inkwell Transport Inc,inkwell-transport.example,Logistics,1-10,US,Chicago,under £1m,2000,Seed,No CRM,none,[],False,0,inkwell-transport.example,True
Thornbury Labs Inc,thornbury-labs.example,Software,1-10,US,Boston,under £1m,2005,Seed,HubSpot,under £5k,"[""Google Ads""]",False,0,thornbury-labs.example,True
Marigold Tutors Ltd,marigold-tutors.example,Education,201-1000,UK,Bristol,£250m+,2011,Series A,No CRM,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,29,marigoldtuto-group.example,False
Quartz Couriers Ltd,quartz-couriers.example,Logistics,51-200,UK,Bristol,£10m-£50m,2010,Bootstrapped,Salesforce,£5k-£25k,"[""Meta Ads"", ""TikTok Ads""]",True,7,quartz-couriers.example,True
Kingsway Finance Inc,kingsway-finance.example,Financial services,11-50,US,Boston,£1m-£10m,2009,Seed,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Microsoft Ads""]",True,4,kingsway-finance.example,True
Northwind Cloud Ltd,northwind-cloud.example,Software,201-1000,UK,Birmingham,£50m-£250m,1994,Private equity,Salesforce,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,22,northwind-cloud.example,True
Tamarind Market SAS,tamarind-market.example,Retail,1-10,FR,Toulouse,under £1m,2009,Bootstrapped,Spreadsheet,under £5k,"[""Microsoft Ads""]",False,0,tamarindmark-group.example,False
Juniper Wealth Inc,juniper-wealth.example,Financial services,11-50,US,New York,£10m-£50m,1997,Series A,HubSpot,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""TikTok Ads""]",False,0,juniper-wealth.example,True
Granite Market Ltd,granite-market.example,Retail,11-50,UK,London,£1m-£10m,2024,Series A,Spreadsheet,under £5k,"[""Microsoft Ads""]",True,8,granite-market.example,True
Marigold Logistics BV,marigold-logistics.example,Logistics,51-200,NL,Utrecht,£10m-£50m,2024,Bootstrapped,HubSpot,none,[],False,0,marigoldlogi-group.example,False
Northwind Accountants Ltd,northwind-accountants.example,Professional services,11-50,UK,Manchester,£1m-£10m,1997,Bootstrapped,Spreadsheet,£5k-£25k,"[""Google Ads"", ""LinkedIn Ads""]",False,0,northwind-accountants.example,True
Bluebell College Inc,bluebell-college.example,Education,201-1000,US,New York,£50m-£250m,2024,Bootstrapped,Salesforce,£25k-£100k,"[""Google Ads"", ""LinkedIn Ads"", ""Meta Ads""]",True,13,bluebell-college.example,True
Beacon Training Ltd,beacon-training.example,Education,201-1000,UK,Manchester,£50m-£250m,2022,Private equity,HubSpot,£25k-£100k,"[""LinkedIn Ads"", ""Meta Ads"", ""Microsoft Ads""]",True,21,beacontrai-group.example,False
Kelvin Wealth BV,kelvin-wealth.example,Financial services,51-200,NL,Amsterdam,£10m-£50m,2013,Series A,HubSpot,£5k-£25k,"[""Google Ads"", ""Microsoft Ads""]",True,11,kelvinweal-group.example,False
Inkwell Accountants SAS,inkwell-accountants.example,Professional services,201-1000,FR,Paris,£50m-£250m,2013,Bootstrapped,Salesforce,none,[],True,20,inkwellacco-group.example,False
Keystone Academy Ltd,keystone-academy.example,Education,11-50,UK,Leeds,£1m-£10m,2010,Seed,Spreadsheet,none,[],False,0,keystone-academy.example,True
Upland Finance GmbH,upland-finance.example,Financial services,1-10,DE,Munich,under £1m,2008,Seed,Pipedrive,none,[],False,0,upland-finance.example,True
Thornbury Data Inc,thornbury-data.example,Software,11-50,US,Chicago,£1m-£10m,2008,Series A,No CRM,under £5k,"[""Meta Ads""]",True,1,thornbury-data.example,True
Emberly Industries SAS,emberly-industries.example,Manufacturing,1-10,FR,Lyon,under £1m,2018,Seed,Spreadsheet,under £5k,"[""Google Ads""]",False,0,emberlyindu-group.example,False
Dovecote Care GmbH,dovecote-care.example,Healthcare,11-50,DE,Hamburg,£1m-£10m,2001,Bootstrapped,Spreadsheet,£5k-£25k,"[""Google Ads"", ""Meta Ads""]",True,2,dovecote-care.example,True
Nimbus Systems Ltd,nimbus-systems.example,Software,51-200,UK,Edinburgh,£10m-£50m,2022,Series A,Salesforce,under £5k,"[""Microsoft Ads""]",True,6,nimbussyst-group.example,False
Orchard Retail BV,orchard-retail.example,Retail,51-200,NL,Utrecht,£10m-£50m,2023,Bootstrapped,HubSpot,£25k-£100k,"[""Google Ads"", ""Meta Ads"", ""TikTok Ads""]",False,0,orchardreta-group.example,False
Brightwater Outfitters GmbH,brightwater-outfitters.example,Retail,51-200,DE,Hamburg,£10m-£50m,2000,Bootstrapped,Salesforce,£5k-£25k,"[""LinkedIn Ads"", ""Meta Ads""]",False,0,brightwater-outfitters.example,True
Nimbus Industries SAS,nimbus-industries.example,Manufacturing,11-50,FR,Toulouse,£1m-£10m,2014,Bootstrapped,HubSpot,none,[],False,0,nimbus-industries.example,True
Oakridge Medical SAS,oakridge-medical.example,Healthcare,11-50,FR,Paris,£1m-£10m,2022,Seed,Spreadsheet,under £5k,"[""Meta Ads""]",False,0,oakridgemedi-group.example,False
Lindenwood Retail Inc,lindenwood-retail.example,Retail,1-10,US,Seattle,under £1m,2008,Bootstrapped,Pipedrive,under £5k,"[""LinkedIn Ads""]",False,0,lindenwoodreta-group.example,False
Redwood Training Ltd,redwood-training.example,Education,1-10,UK,Edinburgh,under £1m,2007,Bootstrapped,Spreadsheet,under £5k,"[""Google Ads""]",False,0,redwood-training.example,True
Clearwater Accountants Inc,clearwater-accountants.example,Professional services,1-10,US,San Francisco,under £1m,1997,Bootstrapped,Pipedrive,under £5k,"[""Google Ads""]",True,1,clearwater-accountants.example,True
